task,variant,block,model,K,group_a,group_b,n_a,n_b,D_point,D_ci_lo,D_ci_hi,verdict,sign_reversal,ratio_point,ratio_ci_lo,ratio_ci_hi,gap_point_pp,bench_gap_point_pp
D4,black_vs_white,B4,logistic_regression,0.1,White,Black,8904,3287,6.415256977649712,5.3182325633584435,7.559980203945353,amplification,False,15.045317959468903,11.479128831275405,20.31526237782134,19.228454766537897,12.813197788888186
D4,pardo_vs_white,B4,logistic_regression,0.1,White,Pardo,8904,11858,5.555971023993569,4.617822959528425,6.519834485330073,amplification,False,4.565326515017928,4.1864511688385475,5.046947593967788,16.085762232539984,10.529791208546415
D4,bpi_vs_white,B4,logistic_regression,0.1,White,Black_Pardo_Indigenous,8904,15300,5.733999260081392,4.83681447421736,6.632576017828516,amplification,False,5.424122365472672,4.9729264548215015,5.966671490315786,16.800098655814526,11.066099395733135
D4,sex_f_vs_m,B4,logistic_regression,0.1,F,M,14837,9939,0.36962819020653637,-0.41715724936739745,1.2257086757223377,inconclusive,False,0.7617782491512748,0.7085841945528407,0.8209101368686166,-2.7779354988798923,-3.1475636890864287
D4,black_vs_white,B4,gradient_boosting,0.1,White,Black,8904,3287,6.018905372275711,4.967560803388121,7.155668389673059,amplification,False,15.068437066078575,11.53446671907757,20.846139242534164,18.832103161163896,12.813197788888186
D4,pardo_vs_white,B4,gradient_boosting,0.1,White,Pardo,8904,11858,4.867769655811802,3.8622245444255974,5.871287369618048,amplification,False,4.225870613596462,3.883723814513323,4.625771213710931,15.397560864358217,10.529791208546415
D4,bpi_vs_white,B4,gradient_boosting,0.1,White,Black_Pardo_Indigenous,8904,15300,5.111146345330587,4.2109485932737885,5.961994609164417,amplification,False,5.050930602917756,4.618725025338255,5.5255704939919505,16.17724574106372,11.066099395733135
D4,sex_f_vs_m,B4,gradient_boosting,0.1,F,M,14837,9939,-0.033602562746049,-0.820581946720719,0.8368014118447121,practical_reproduction,False,0.7327336316402113,0.6801408026304503,0.7908982910409114,-3.1811662518324777,-3.1475636890864287
D4,race_not_declared_retained,B3,logistic_regression,0.1,White,Black_Pardo,8904,15145,3.5099770799017698,2.5665882876132686,4.431644911557252,amplification,False,4.084605905875504,3.7370529294516013,4.422458858293174,14.460681367920818,10.950704288019049
D4,race_not_declared_retained,B3,gradient_boosting,0.1,White,Black_Pardo,8904,15145,3.3065245009532003,2.3783399992050467,4.226711180214502,amplification,False,4.011516457586956,3.684848512581577,4.33952760098119,14.257228788972249,10.950704288019049
D4,race_not_declared_retained,B4,logistic_regression,0.1,White,Black_Pardo,8904,15145,5.8303389190505595,4.895668799982915,6.75732326355859,amplification,False,5.397039781506387,4.912459759457635,5.901604570432952,16.781043207069608,10.950704288019049
D4,race_not_declared_retained,B4,gradient_boosting,0.1,White,Black_Pardo,8904,15145,5.051578378163528,4.1141940798694385,5.97733546145867,amplification,False,4.934327450963233,4.51871505262869,5.386943056990885,16.002282666182577,10.950704288019049
D5,white_bp_only_population,B3,logistic_regression,0.1,White,Black_Pardo,8904,15145,3.406245615533816,2.469129520505136,4.280421169040693,amplification,False,4.074522464352973,3.7146016150012815,4.413023026827654,14.372808879246646,10.96656326371283
D5,white_bp_only_population,B3,gradient_boosting,0.1,White,Black_Pardo,8904,15145,3.03173693529188,2.083202615062481,3.926582697743317,amplification,False,3.9081516668576994,3.5816456721154686,4.224618875234542,13.99830019900471,10.96656326371283
D5,white_bp_only_population,B4,logistic_regression,0.1,White,Black_Pardo,8904,15145,5.742466430376384,4.810765586749472,6.682650539395013,amplification,False,5.385758313985809,4.895567287449571,5.890855600917692,16.709029694089214,10.96656326371283
D5,white_bp_only_population,B4,gradient_boosting,0.1,White,Black_Pardo,8904,15145,5.171786536674384,4.2375564956543155,6.064460051042973,amplification,False,5.013387647403355,4.552336798879865,5.46981526309379,16.138349800387214,10.96656326371283
D6,end_to_end_absence,B3,logistic_regression,0.1,White,Black_Pardo,12258,21701,2.825898557870147,2.111627996027139,3.520490007592097,amplification,False,4.511799377117465,4.128357212221535,4.962141674801653,11.004209835675205,8.178311277805058
D6,end_to_end_absence,B3,gradient_boosting,0.1,White,Black_Pardo,12258,21701,2.793266807176723,2.042569828108296,3.502842222327631,amplification,False,4.501385529738083,4.105051635569566,4.9186058613186425,10.97157808498178,8.178311277805058
D6,end_to_end_absence,B4,logistic_regression,0.1,White,Black_Pardo,12258,21701,4.396119048644248,3.67046242901859,5.11904811043465,amplification,False,5.899061265965464,5.377169664055172,6.503389526313353,12.574430326449306,8.178311277805058
D6,end_to_end_absence,B4,gradient_boosting,0.1,White,Black_Pardo,12258,21701,3.87482867334686,3.1411725494302924,4.601529028563188,amplification,False,5.4034543784502995,4.931866122629017,5.928012007824824,12.053139951151918,8.178311277805058
